Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Invntory
Jan 2011,105,"12,962,820","123,455","117,000",,
Feb 2011,98,"12,611,997","128,694","119,950",,
Mar 2011,133,"18,248,346","137,206","120,000",,
Apr 2011,159,"21,220,342","133,461","120,500",,
May 2011,181,"24,383,739","134,717","125,000",,
Jun 2011,168,"26,570,539","158,158","135,000",,
Jul 2011,158,"22,186,006","140,418","128,500",,
Aug 2011,164,"22,202,354","135,380","119,450",,
Sep 2011,158,"21,861,723","138,365","126,200",,
Oct 2011,124,"18,583,146","149,864","125,000",,
Nov 2011,128,"16,957,865","132,483","124,500",,
Dec 2011,148,"20,602,057","139,203","131,750",,
Jan 2012,109,"14,579,755","133,759","110,200",,
Feb 2012,111,"14,787,472","133,220","111,000",,
Mar 2012,153,"21,992,977","143,745","130,000",,
Apr 2012,161,"22,741,528","141,252","131,500",,
May 2012,193,"28,279,869","146,528","135,500",,
Jun 2012,185,"28,503,777","154,074","125,250",,
Jul 2012,198,"30,467,567","153,877","142,000",,
Aug 2012,231,"35,380,688","153,163","136,000",,
Sep 2012,173,"25,047,740","144,785","135,000",,
Oct 2012,162,"22,794,758","140,708","131,450",,
Nov 2012,165,"22,441,292","136,008","126,500",,
Dec 2012,157,"21,865,904","139,273","135,500",,
Jan 2013,111,"16,071,731","144,790","115,000",,
Feb 2013,150,"20,888,278","139,255","126,020",,
Mar 2013,178,"26,787,622","150,492","123,350",,
Apr 2013,184,"23,584,681","128,178","113,750",,
May 2013,241,"36,152,515","150,010","133,000",,
Jun 2013,220,"34,856,657","158,439","137,750",,
Jul 2013,212,"33,352,722","157,324","137,950",,
Aug 2013,243,"37,449,912","154,115","134,500",,
Sep 2013,202,"28,531,657","141,246","119,500",,
Oct 2013,142,"22,319,138","157,177","138,250",,
Nov 2013,166,"24,171,474","145,611","123,750",,
Dec 2013,143,"24,155,956","168,923","138,000",,
Jan 2014,138,"20,164,841","146,122","117,250",,
Feb 2014,125,"18,579,432","148,635","120,000",,
Mar 2014,191,"29,544,354","154,682","127,000",,
Apr 2014,196,"28,035,436","143,038","121,900",,
May 2014,232,"35,883,383","154,670","137,000",,
Jun 2014,249,"41,380,151","166,185","140,000",,
Jul 2014,225,"35,432,025","157,476","136,000",,
Aug 2014,215,"34,895,026","162,302","140,000",,
Sep 2014,207,"32,090,099","155,025","140,000",,
Oct 2014,198,"30,246,554","152,760","136,375",,
Nov 2014,142,"21,479,992","151,268","145,500",,
Dec 2014,201,"33,996,186","169,135","148,000",,
Jan 2015,139,"22,181,670","159,580","137,900",760,3.9
Feb 2015,173,"27,107,054","156,688","145,000",732,3.7
Mar 2015,231,"36,835,589","159,461","140,000",727,3.6
Apr 2015,229,"40,039,177","174,844","149,207",728,3.6
May 2015,259,"46,642,885","180,088","154,000",755,3.7
Jun 2015,259,"47,240,003","182,394","158,650",738,3.6
Jul 2015,269,"46,684,233","173,547","142,500",754,3.6
Aug 2015,244,"43,214,955","177,110","145,000",729,3.4
Sep 2015,193,"33,815,464","175,210","159,200",713,3.4
Oct 2015,218,"37,177,974","170,541","150,000",672,3.2
Nov 2015,149,"27,265,015","182,987","148,500",668,3.1
Dec 2015,195,"33,947,114","174,088","150,000",640,3.0
Jan 2016,126,"20,845,483","165,440","156,900",621,2.9
Feb 2016,158,"25,416,267","160,862","148,000",614,2.9
Mar 2016,233,"41,022,702","176,063","153,850",581,2.8
Apr 2016,259,"44,240,422","170,812","153,000",545,2.6
May 2016,265,"50,052,409","188,877","159,500",509,2.4
Jun 2016,292,"57,881,355","198,224","164,000",516,2.4
Jul 2016,243,"46,507,443","191,389","160,000",559,2.6
Aug 2016,278,"49,788,369","179,095","161,000",554,2.5
Sep 2016,232,"42,450,553","182,977","156,400",560,2.5
Oct 2016,234,"44,440,946","189,919","149,500",575,2.6
Nov 2016,176,"31,840,860","180,914","160,000",523,2.3
Dec 2016,186,"32,394,277","174,163","158,000",507,2.3
Jan 2017,116,"19,514,274","168,226","148,050",489,2.2
Feb 2017,180,"29,677,149","164,873","152,250",475,2.1
Mar 2017,218,"45,816,877","210,169","176,449",461,2.1
Apr 2017,216,"39,661,056","183,616","166,900",471,2.1
May 2017,261,"49,309,109","188,924","159,900",495,2.3
Jun 2017,305,"65,756,799","215,596","190,000",523,2.4
Jul 2017,260,"49,786,867","191,488","170,000",579,2.7
Aug 2017,244,"50,275,374","206,047","165,535",596,2.8
Sep 2017,232,"52,171,067","224,875","181,750",596,2.8
Oct 2017,189,"37,684,094","199,387","175,800",639,3.0
Nov 2017,217,"43,665,398","201,223","163,000",653,3.0
Dec 2017,244,"46,121,093","189,021","175,000",593,2.7
Jan 2018,127,"19,552,927","153,960","142,000",577,2.6
Feb 2018,180,"32,090,620","178,281","173,250",559,2.5
Mar 2018,222,"43,266,971","194,896","178,500",583,2.6
Apr 2018,237,"47,200,252","199,157","180,000",583,2.6
May 2018,282,"57,606,901","204,280","185,000",635,2.8
Jun 2018,292,"66,901,052","229,113","191,000",621,2.7
Jul 2018,287,"64,380,090","224,321","195,000",732,3.2
Aug 2018,295,"61,669,702","209,050","178,000",721,3.1
Sep 2018,262,"53,136,801","202,812","176,500",740,3.1
Oct 2018,220,"46,457,991","211,173","183,750",733,3.1
Nov 2018,231,"45,378,984","196,446","172,000",769,3.2